CET Number,Physics,Chemistry,Math,Total
264031222,32,31,13,76
264031223,21,14,12,47
264031224,15,15,20,50
264031226,13,16,9,38
264031227,25,33,25,83
264031228,20,21,23,64
264031229,18,19,14,51
264031230,20,24,14,58
264031231,19,23,19,61
264031232,20,22,20,62
264031233,18,13,14,45
264031234,15,17,14,46
264031235,14,14,9,37
264031236,-,-,15,-
264031237,18,17,20,55
264031238,26,16,15,57
264031240,23,16,15,54
264031241,26,23,15,64
264031242,16,17,20,53
264031243,15,18,21,54
264031244,17,16,16,49
264031245,14,21,-,-
264031246,20,16,19,55
264031248,15,16,9,40
264031249,19,16,18,53
264031250,35,27,14,76
264031251,16,19,15,50
264031252,25,25,17,67
264031253,11,21,13,45
264031254,20,19,22,61
264031255,13,15,16,44
264031256,19,23,19,61
264031257,16,16,16,48
264031258,21,26,18,65
264031259,23,20,22,65
264031260,15,16,16,47
264031261,24,37,19,80
264031262,23,19,21,63
264031263,12,18,14,44
264031264,17,21,10,48
264031265,14,18,13,45
264031266,17,19,22,58
264031267,17,23,22,62
264031268,18,18,14,50
264031269,19,15,19,53
264031270,19,20,14,53
264031271,38,41,18,97
264031272,13,19,24,56
264031273,10,18,-,-
264031274,24,27,22,73
264031275,11,14,14,39
264031276,17,20,-,-
264031277,21,20,21,62
264031278,16,17,19,52
264031279,23,19,18,60
264031280,17,12,16,45
264031281,17,19,13,49
264031282,18,22,15,55
264031283,19,20,20,59
264031284,31,24,21,76
264031285,21,26,17,64
264031286,18,25,14,57
264031287,23,24,16,63
264031288,18,15,12,45
264031289,24,22,13,59
264031290,20,12,8,40
264031291,22,22,14,58
264031292,22,11,16,49
264031293,24,16,16,56
264031294,16,12,16,44
264031295,11,18,12,41
264031296,17,20,19,56
264031297,18,17,12,47
264031298,-,17,22,-
264031299,18,25,19,62
264031300,23,19,19,61
264031301,15,17,20,52
264031302,18,20,15,53
264031303,16,22,13,51
264031305,20,24,14,58
264031306,21,19,26,66
264031307,15,19,15,49
264031308,16,16,17,49
264031309,11,17,15,43
264031310,13,15,18,46
264031311,21,24,18,63
264031312,26,21,21,68
265030071,-,-,16,-
265031001,11,19,-,-
265031002,32,32,12,76
265031003,29,15,25,69
265031004,20,27,14,61
265031005,24,27,26,77
265031006,18,22,21,61
265031007,25,17,11,53
265031008,12,12,21,45
265031009,22,23,22,67
265031010,22,29,20,71
265031011,20,20,16,56
265031012,29,30,20,79
265031013,35,31,21,87
265031014,18,26,20,64
265031015,15,23,12,50
265031016,26,25,15,66
265031017,27,27,21,75
265031018,25,21,-,-
265031019,25,29,15,69
265031020,18,20,15,53
265031021,21,23,18,62
265031022,19,17,16,52
265031023,24,39,19,82
265031024,23,19,-,-
265031025,16,18,19,53
265031026,19,24,20,63
265031027,13,20,18,51
265031028,28,36,18,82
265031029,23,19,21,63
265031030,25,19,18,62
265031031,17,18,18,53
265031032,21,21,16,58
265031033,22,17,18,57
265031034,18,22,20,60
265031035,21,17,22,60
265031036,38,35,20,93
265031037,32,35,22,89
265031038,14,20,17,51
265031039,21,27,15,63
265031040,16,24,16,56
265031041,18,13,21,52
265031042,27,22,22,71
265031043,18,17,17,52
265031044,22,14,10,46
265031045,17,18,21,56
